kartu,nama,department,doors
90000001,Umar Wijaya,IT,
90000002,Hadi Pratama,HRD,
90000003,Vina Susanto,IT,
90000004,Budi Saputra,IT,Lobby Utama|Lobby B|Ruang Server
90000005,Wati Firmansyah,,Gudang
90000006,Sari Santoso,IT,
90000007,Fitri Susanto,,Lobby B|Ruang Server
90000008,Gita Wibowo,Security,Ruang Server|Ruang Meeting
90000009,Lina Halim,Security,
90000010,Xena Hartono,IT,
90000011,Made Wijaya,Security,
90000012,Toni Rahman,Security,
90000013,Wati Wijaya,IT,
90000014,Yudi Santoso,IT,
90000015,Dedi Utami,Security,
90000016,Lina Kusuma,Security,
90000017,Vina Santoso,IT,
90000018,Fitri Gunawan,HRD,Lobby B|Lab Komputer
90000019,Wati Gunawan,HRD,
90000020,Yudi Wibowo,IT,Lab Komputer
90000021,Made Santoso,IT,Lab Komputer|Ruang Server|Gudang
90000022,Putri Utami,,Lobby B
90000023,Eka Pratama,Security,
90000024,Nina Rahman,,Ruang Arsip|Ruang Server
90000025,Qori Hartono,IT,
90000026,Dedi Kusuma,HRD,
90000027,Nina Halim,IT,
90000028,Toni Hartono,Security,
90000029,Andi Firmansyah,IT,
90000030,Rudi Wibowo,Security,
90000031,Kiki Wijaya,Security,
90000032,Omar Saputra,Security,
90000033,Yudi Kusuma,IT,
90000034,Joko Cahyono,HRD,Lobby Utama
90000035,Toni Setiawan,,Ruang Server
90000036,Lina Rahman,Security,Ruang Server
90000037,Citra Susanto,,Ruang Meeting
90000038,Eka Firmansyah,,Ruang Meeting|Gudang|Lobby B
90000039,Toni Utami,HRD,
90000040,Yudi Susanto,HRD,
90000041,Made Firmansyah,Security,
90000042,Qori Hartono,IT,Lab Komputer
90000043,Andi Halim,HRD,
90000044,Andi Wijaya,IT,Lab Komputer
90000045,Citra Gunawan,HRD,Ruang Arsip|Lobby B
90000046,Eka Susanto,,Gudang
90000047,Zaki Utami,HRD,Ruang Workshop|Ruang Meeting|Ruang Arsip
90000048,Nina Hartono,IT,
90000049,Umar Wijaya,IT,
90000050,Kiki Wibowo,IT,Gudang
90000051,Eka Utami,HRD,Ruang Server
90000052,Omar Wibowo,IT,Lobby Utama|Gudang|Ruang Server
90000053,Fitri Utami,,Ruang Arsip|Ruang Workshop
90000054,Made Rahman,IT,Ruang Workshop
90000055,Indra Rahman,,Ruang Workshop|Lab Komputer
90000056,Xena Wibowo,,Ruang Arsip
90000057,Joko Pratama,IT,
90000058,Rudi Saputra,Security,Gudang|Lobby B|Ruang Workshop
90000059,Fitri Saputra,IT,
90000060,Citra Halim,IT,
90000061,Hadi Utami,IT,
90000062,Sari Pratama,IT,
90000063,Nina Firmansyah,Security,
90000064,Gita Firmansyah,Security,Ruang Meeting|Lab Komputer
90000065,Umar Santoso,,Ruang Server|Lobby Utama
90000066,Omar Halim,IT,Lobby B
90000067,Eka Rahman,Security,
90000068,Hadi Setiawan,Security,Lobby B|Gudang|Lab Komputer
90000069,Qori Saputra,Security,
90000070,Dedi Rahman,HRD,Ruang Meeting
90000071,Indra Santoso,HRD,
90000072,Gita Firmansyah,Security,
90000073,Indra Rahman,IT,Lobby B|Lobby Utama
90000074,Andi Setiawan,HRD,
90000075,Indra Kusuma,,Ruang Workshop|Lobby B|Lobby Utama
90000076,Dedi Wijaya,HRD,
90000077,Lina Halim,HRD,
90000078,Budi Santoso,Security,
90000079,Zaki Cahyono,IT,
90000080,Gita Firmansyah,HRD,
